name,image,video,project,link,path
1BR LOW2 CHINABANK,https://drive.google.com/thumbnail?id=1wIakYGcAwKAnrKoIVsJtzoJa8BjlSJG9&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1wIakYGcAwKAnrKoIVsJtzoJa8BjlSJG9,LATEST SAMPLE COMPUTATION BANK\CHINABANK\1BR LOW2 CHINABANK
1BR MID1 CHINABANK,https://drive.google.com/thumbnail?id=1e-7XV4MlWiTN_h5N-qEg1IEfstU3AvBZ&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1e-7XV4MlWiTN_h5N-qEg1IEfstU3AvBZ,LATEST SAMPLE COMPUTATION BANK\CHINABANK\1BR MID1 CHINABANK
1BR MID2 CHINABANK,https://drive.google.com/thumbnail?id=1avlv0GQ-p_aApz71t85VvkMMyaaOolKG&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1avlv0GQ-p_aApz71t85VvkMMyaaOolKG,LATEST SAMPLE COMPUTATION BANK\CHINABANK\1BR MID2 CHINABANK
SC1214 HIGH CHINABANK,https://drive.google.com/thumbnail?id=1qRuBvYBwTR-O-ltUu2HyaYG3h-ph8wLm&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1qRuBvYBwTR-O-ltUu2HyaYG3h-ph8wLm,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SC1214 HIGH CHINABANK
SC1214 LOW1 CHINABANK,https://drive.google.com/thumbnail?id=1hI0SwPwtj7HKqSjab96guiQxgslH9QjA&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1hI0SwPwtj7HKqSjab96guiQxgslH9QjA,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SC1214 LOW1 CHINABANK
SC1214 LOW2 CHINABANK,https://drive.google.com/thumbnail?id=1gAvz0Z9ESq8uJrs16IUC8sEA3w5QQNvd&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1gAvz0Z9ESq8uJrs16IUC8sEA3w5QQNvd,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SC1214 LOW2 CHINABANK
SC1214 MID1 CHINABANK,https://drive.google.com/thumbnail?id=1BvICvZAJhrKZ8HCQ9GF6URH2GRMFIy2t&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1BvICvZAJhrKZ8HCQ9GF6URH2GRMFIy2t,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SC1214 MID1 CHINABANK
SC1214 MID2 CHINABANK,https://drive.google.com/thumbnail?id=1Epcn62h-7cPQ8OIP4j-v_dJA3hu5mKRn&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1Epcn62h-7cPQ8OIP4j-v_dJA3hu5mKRn,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SC1214 MID2 CHINABANK
SO1214 HIGH CHINABANK,https://drive.google.com/thumbnail?id=1Pagzz6vBC_eRgv5cYijwV3LNlMXmoucz&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1Pagzz6vBC_eRgv5cYijwV3LNlMXmoucz,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SO1214 HIGH CHINABANK
SO1214 LOW1 CHINABANK,https://drive.google.com/thumbnail?id=1bUJkuo8-G9u2-F6lqq5osTWRxplqCULI&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1bUJkuo8-G9u2-F6lqq5osTWRxplqCULI,LATEST SAMPLE COMPUTATION BANK\CHINABANK\SO1214 LOW1 CHINABANK
